Gebietseinheit,Aufenthaltstitel,GeoCode,Value
Hameln-Pyrmont,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03252,125
Hildesheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03254,160
Holzminden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03255,20
Nienburg (Weser),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03256,60
Schaumburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03257,125
Statistische Region Hannover,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K032,1375
Celle,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03351,110
Cuxhaven,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03352,115
Harburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03353,75
Lüchow-Dannenberg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03354,25
Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03355,150
Osterholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03356,145
Rotenburg (Wümme),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03357,85
Heidekreis,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03358,130
Stade,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03359,190
Uelzen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03360,50
Verden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03361,165
Statistische Region Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K033,1245
Delmenhorst.Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03401,85
Emden Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03402,45
Oldenburg (Oldb) Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03403,45
Osnabrück Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03404,75
Wilhelmshaven Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03405,85
Ammerland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03451,50
Aurich,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03452,110
Cloppenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03453,90
Emsland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03454,180
Friesland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03455,65
Grafschaft Bentheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03456,85
Leer,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03457,140
Oldenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03458,55
Osnabrück,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03459,100
Vechta,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03460,45
Wesermarsch,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03461,40
Wittmund,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03462,50
Statistische Region Weser-Ems,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K034,1350
Niedersachsen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K030,5040
Braunschweig Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03101,65
Salzgitter Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03102,10
Wolfsburg Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03103,155
Gifhorn,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03151,80
Göttingen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03159,130
Goslar,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03153,30
Helmstedt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03154,105
Northeim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03155,90
Peine,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03157,55
Wolfenbüttel,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03158,300
Statistische Region Braunschweig,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K031,1010
Hannover Region,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241,760
Hannover Landeshauptstadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241001,395
Diepholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03251,140
Hameln-Pyrmont,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03252,100
Hildesheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03254,180
Holzminden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03255,20
Nienburg (Weser),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03256,50
Schaumburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03257,115
Statistische Region Hannover,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K032,1360
Celle,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03351,90
Cuxhaven,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03352,155
Harburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03353,75
Lüchow-Dannenberg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03354,20
Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03355,115
Osterholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03356,125
Rotenburg (Wümme),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03357,75
Heidekreis,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03358,145
Stade,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03359,165
Uelzen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03360,40
Verden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03361,155
Statistische Region Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K033,1165
Delmenhorst.Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03401,95
Emden Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03402,35
Oldenburg (Oldb) Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03403,45
Osnabrück Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03404,85
Wilhelmshaven Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03405,80
Ammerland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03451,45
Aurich,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03452,90
Cloppenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03453,105
Emsland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03454,180
Friesland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03455,60
Grafschaft Bentheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03456,95
Leer,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03457,135
Oldenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03458,50
Osnabrück,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03459,120
Vechta,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03460,40
Wesermarsch,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03461,50
Wittmund,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03462,30
Statistische Region Weser-Ems,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K034,1340
Niedersachsen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K030,4870
Braunschweig Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03101,65
Salzgitter Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03102,5
Wolfsburg Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03103,140
Gifhorn,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03151,75
Goslar,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03153,25
Helmstedt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03154,105
Northeim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03155,90
Peine,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03157,45
Wolfenbüttel,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03158,310
Statistische Region Braunschweig,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K031,990
Hannover Region,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241,820
Hannover Landeshauptstadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241001,410
Diepholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03251,110
Hameln-Pyrmont,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03252,90
Hildesheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03254,170
Holzminden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03255,15
Nienburg (Weser),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03256,50
Schaumburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03257,120
Statistische Region Hannover,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K032,1375
Celle,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03351,90
Cuxhaven,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03352,150
Harburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03353,75
Lüchow-Dannenberg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03354,15
Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03355,105
Osterholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03356,105
Rotenburg (Wümme),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03357,70
Heidekreis,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03358,135
Stade,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03359,145
Uelzen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03360,30
Verden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03361,140
Statistische Region Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K033,1060
Delmenhorst.Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03401,85
Emden Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03402,35
Oldenburg (Oldb) Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03403,55
Osnabrück Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03404,75
Wilhelmshaven Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03405,70
Ammerland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03451,70
Aurich,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03452,90
Cloppenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03453,95
Emsland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03454,170
Friesland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03455,50
Grafschaft Bentheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03456,75
Leer,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03457,135
Oldenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03458,40
Osnabrück,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03459,145
Vechta,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03460,50
Wesermarsch,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03461,50
Wittmund,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03462,30
Statistische Region Weser-Ems,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K034,1315
Niedersachsen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K030,4740
Braunschweig Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03101,59
Salzgitter Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03102,25
Wolfsburg Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03103,166
Gifhorn,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03151,67
Goslar,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03153,115
Helmstedt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03154,26
Northeim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03155,115
Peine,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03157,97
Wolfenbüttel,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03158,50
Statistische Region Braunschweig,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K031,1018
Hannover Region,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241,830
Hannover Landeshauptstadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241001,409
Diepholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03251,90
Hameln-Pyrmont,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03252,63
Hildesheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03254,170
Holzminden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03255,15
Nienburg (Weser),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03256,45
Schaumburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03257,102
Statistische Region Hannover,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K032,1315
Celle,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03351,84
Cuxhaven,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03352,138
Harburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03353,112
Lüchow-Dannenberg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03354,16
Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03355,108
Osterholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03356,87
Rotenburg (Wümme),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03357,81
Heidekreis,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03358,126
Stade,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03359,111
Uelzen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03360,35
Verden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03361,116
Statistische Region Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K033,1014
Delmenhorst.Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03401,91
Emden Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03402,35
Oldenburg (Oldb) Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03403,68
Osnabrück Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03404,76
Wilhelmshaven Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03405,72
Ammerland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03451,66
Aurich,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03452,86
Cloppenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03453,65
Emsland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03454,147
Friesland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03455,61
Grafschaft Bentheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03456,75
Leer,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03457,111
Oldenburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03458,43
Osnabrück,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03459,142
Vechta,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03460,74
Wesermarsch,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03461,55
Wittmund,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03462,31
Statistische Region Weser-Ems,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K034,1298
Niedersachsen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K030,4645
Braunschweig Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03101,80
Salzgitter Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03102,55
Wolfsburg Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03103,65
Gifhorn,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03151,25
Goslar,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03153,25
Helmstedt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03154,25
Northeim,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03155,50
Peine,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03157,50
Wolfenbüttel,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03158,10
Göttingen,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03159,80
Statistische Region Braunschweig,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K031,460
Hannover Region,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03241,265
Hannover Landeshauptstadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03241001,165
Diepholz,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03251,25
Hameln-Pyrmont,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03252,30
Hildesheim,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03254,45
Holzminden,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03255,20
Nienburg (Weser),Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03256,20
Schaumburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03257,5
Statistische Region Hannover,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K032,415
Celle,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03351,30
Cuxhaven,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03352,25
Harburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03353,15
Lüchow-Dannenberg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03354,10
Lüneburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03355,10
Osterholz,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03356,60
Rotenburg (Wümme),Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03357,15
Heidekreis,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03358,55
Stade,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03359,25
Uelzen,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03360,65
Verden,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03361,20
Statistische Region Lüneburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K033,330
Delmenhorst.Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03401,20
Emden Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03402,30
Oldenburg (Oldb) Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03403,40
Osnabrück Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03404,40
Wilhelmshaven Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03405,20
Ammerland,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03451,25
Aurich,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03452,55
Cloppenburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03453,30
Emsland,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03454,100
Friesland,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03455,10
Grafschaft Bentheim,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03456,75
Leer,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03457,30
Oldenburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03458,10
Osnabrück,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03459,95
Vechta,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03460,30
Wesermarsch,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03461,5
Wittmund,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03462,5
Statistische Region Weser-Ems,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K034,615
Niedersachsen,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K030,1820
Braunschweig Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03101,100
Salzgitter Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03102,75
Wolfsburg Stadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03103,100
Gifhorn,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03151,55
Göttingen,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03159,45
Goslar,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03153,30
Helmstedt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03154,70
Northeim,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03155,95
Peine,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03157,30
Wolfenbüttel,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03158,155
Statistische Region Braunschweig,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K031,745
Hannover Region,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03241,405
Hannover Landeshauptstadt,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03241001,230
Diepholz,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03251,45
Hameln-Pyrmont,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03252,35
Hildesheim,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03254,70
Holzminden,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03255,35
Nienburg (Weser),Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03256,35
Schaumburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03257,25
Statistische Region Hannover,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K032,655
Celle,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03351,50
Cuxhaven,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03352,50
Harburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03353,20
Lüchow-Dannenberg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03354,15
Lüneburg,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03355,45
Osterholz,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03356,80
Rotenburg (Wümme),Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03357,45
Heidekreis,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03358,70
Stade,Bleiberecht (Aufenthaltsgewährung) und Opfer von Menschenhandel und organisierter Schwarzarbeit,K03359,50
